mod_id,mod_name,mod_version,mod_file,mod_url,display_url,issue_tracker_url
ftbchunks,FTB Chunks,2001.3.6,ftb-chunks-forge-2001.3.6.jar,,,https://go.ftb.team/support-mod-issues
forge,Forge,47.4.0,forge-1.20.1-47.4.0-universal.jar,,https://minecraftforge.net/,https://minecraftforge.net/
friendsandfoes,Friends&Foes,3.0.9,friendsandfoes-forge-mc1.20.1-3.0.9.jar,,https://github.com/Faboslav/friends-and-foes,https://github.com/Faboslav/friends-and-foes/issues
mcwpaths,Macaw's Paths and Pavings,1.1.1,mcw-mcwpaths-1.1.1-mc1.20.1forge.jar,,https://www.curseforge.com/minecraft/mc-mods/macaws-paths-and-pavings,
ironchest,Iron Chests,1.20.1-14.4.4,ironchest-1.20.1-14.4.4.jar,,https://minecraft.curseforge.com/projects/iron-chests,https://github.com/progwml6/ironchest/issues
infernalmobs,Infernal Mobs,1.20.1.10,infernalmobs-1.20.1.10.jar,,http://atomicstryker.org/,https://github.com/AtomicStryker/atomicstrykers-minecraft-mods/issues
dungeons_arise,When Dungeons Arise,2.1.58-1.20.x,DungeonsArise-1.20.x-2.1.58-release.jar,,https://www.curseforge.com/minecraft/mc-mods/when-dungeons-arise,
minecraft,Minecraft,1.20.1,server-1.20.1-20230612.114412-srg.jar,,,
pharaohs_legacy__demension,Pharaohs Legacy | Demension,1.16.7,pharaohs_legacy__demension-1.16.7-forge-1.20.1.jar,,https://www.curseforge.com/members/smartstreamlabs_studios/projects,
alexscaves,Alex's Caves,2.0.2,alexscaves-2.0.2.jar,,,https://github.com/AlexModGuy/AlexsCaves/issues
trade_cycling,Trade Cycling,1.20.1-1.0.7,trade-cycling-forge-1.20.1-1.0.7.jar,,,https://github.com/henkelmax/trade-cycling/issues
simplyswords,Simply Swords,1.56.0-1.20.1,simplyswords-forge-1.56.0-1.20.1.jar,,,https://github.com/Sweenus/SimplySwords/issues
enchdesc,EnchantmentDescriptions,17.1.20,EnchantmentDescriptions-Forge-1.20.1-17.1.20.jar,,https://www.curseforge.com/minecraft/mc-mods/enchantment-descriptions,https://github.com/Darkhax-Minecraft/Enchantment-Descriptions/issues
terrablender,TerraBlender,3.0.1.10,TerraBlender-forge-1.20.1-3.0.1.10.jar,,,https://github.com/Glitchfiend/TerraBlender/issues
biomesoplenty,Biomes O' Plenty,18.0.0.592,BiomesOPlenty-1.20.1-18.0.0.592.jar,,,https://github.com/Glitchfiend/BiomesOPlenty/issues
moonlight,Moonlight Library,1.20-2.16.19,moonlight-1.20-2.16.19-forge.jar,https://www.curseforge.com/minecraft/mc-mods/selene,,https://github.com/MehVahdJukaar/Moonlight/issues
immersiveengineering,Immersive Engineering,1.20.1-10.2.0-183,ImmersiveEngineering-1.20.1-10.2.0-183.jar,,https://minecraft.curseforge.com/projects/immersive-engineering/,https://github.com/BluSunrize/ImmersiveEngineering/issues
silentlib,Silent Lib,8.0.0,silent-lib-1.20.1-8.0.0.jar,,,https://github.com/SilentChaos512/SilentLib
mixinsquared,MixinSquared,0.1.1,mixinsquared-forge-0.1.1.jar,,https://github.com/Bawnorton/MixinSquared,
threateningly_mobs,Threateningly mobs,1.0.9.82,threateningly_mobs-1.0.9.82-forge-1.20.1.jar,,https://mcreator.net,
spectrelib,SpectreLib,0.13.17+1.20.1,spectrelib-forge-0.13.17+1.20.1.jar,,https://github.com/illusivesoulworks/spectrelib,https://github.com/illusivesoulworks/spectrelib/issues
calio,Calio,1.20.1-1.11.0.5,calio-forge-1.20.1-1.11.0.5.jar,,,https://github.com/EdwinMindcraft/calio/issues
easy_villagers,Easy Villagers,1.20.1-1.1.23,easy-villagers-forge-1.20.1-1.1.23.jar,,https://www.curseforge.com/minecraft/mc-mods/easy-villagers,https://github.com/henkelmax/easy-villagers/issues
traveloptics,T.O Magic 'n Extras,6.3.0-1.20.1,traveloptics-6.3.0-1.20.1.jar,,https://www.curseforge.com/minecraft/mc-mods/to-tweaks-irons-spells,https://discord.gg/BKyvxfdykN
iceberg,Iceberg,1.1.25,Iceberg-1.20.1-forge-1.1.25.jar,,https://anthonyhilyard.com/,
flywheel,Flywheel,1.0.5,flywheel-forge-1.20.1-1.0.5.jar,,https://github.com/Engine-Room/Flywheel,https://github.com/Engine-Room/Flywheel/issues
ponder,Ponder,1.0.91,Ponder-Forge-1.20.1-1.0.91.jar,,https://github.com/Creators-of-Create/Ponder,https://github.com/Creators-of-Create/Ponder/issues
create,Create,6.0.8,create-1.20.1-6.0.8.jar,,https://www.curseforge.com/minecraft/mc-mods/create,https://github.com/Creators-of-Create/Create/issues
createcasing,Create Encased,1.7.2-fix2,Create Encased-1.20.1-1.7.2-fix2.jar,,,
mes,Moog's End Structures,1.4.6-1.20-forge,mes-1.4.6-1.20.jar,,https://www.curseforge.com/minecraft/mc-mods/moogs-end-structures,https://github.com/FinnSetchell/MoogsEndStructures/issues
fastbench,Fast Workbench,8.0.4,FastWorkbench-1.20.1-8.0.4.jar,,,
polymorph,Polymorph,0.49.10+1.20.1,polymorph-forge-0.49.10+1.20.1.jar,,,https://github.com/illusivesoulworks/polymorph/issues
justenoughprofessions,Just Enough Professions (JEP),3.0.1,JustEnoughProfessions-forge-1.20.1-3.0.1.jar,,https://www.curseforge.com/minecraft/mc-mods/just-enough-professions-jep,https://github.com/Mrbysco/JustEnoughProfessions/issues
irons_spells_skill_tree,Iron's Spells Skill Tree,2.0,unofficial_ironspells_v2_1.19.2_1.20.1_1.21.1.jar,,,
irons_spellbooks,Iron's Spells 'n Spellbooks,1.20.1-3.15.0,irons_spellbooks-1.20.1-3.15.0.jar,,https://www.curseforge.com/minecraft/mc-mods/irons-spells-n-spellbooks,https://github.com/iron431/Irons-Spells-n-Spellbooks/issues
coroutil,CoroUtil,1.20.1-1.3.7,coroutil-forge-1.20.1-1.3.7.jar,,,
fastfurnace,FastFurnace,8.0.2,FastFurnace-1.20.1-8.0.2.jar,,,
mvs,Moog's Voyager Structures,5.0.3,MoogsVoyagerStructures-1.20-5.0.3.jar,,https://www.curseforge.com/minecraft/mc-mods/moogs-voyager-structures,
appleskin,AppleSkin,2.5.1+mc1.20.1,appleskin-forge-mc1.20.1-2.5.1.jar,,https://github.com/squeek502/AppleSkin,https://github.com/squeek502/AppleSkin
lootr,Lootr,0.7.35.94,lootr-forge-1.20-0.7.35.94.jar,,https://minecraft.curseforge.com/projects/lootr,https://github.com/noobanidus/Lootr/issues
ferritecore,Ferrite Core,6.0.1,ferritecore-6.0.1-forge.jar,,,
pufferfish_unofficial_additions,Pufferfish's Unofficial Additions,2.2.4,pufferfish_unofficial_additions-1.20.1-2.2.4-all.jar,,,
puzzleslib,Puzzles Lib,8.1.33,PuzzlesLib-v8.1.33-1.20.1-Forge.jar,,https://github.com/Fuzss/puzzleslib,https://github.com/Fuzss/puzzleslib/issues
ias_spellbooks,Illage and Spell-age,1.1.0-1.20.1,ias_spellbooks-1.1.0-1.20.1.jar,,https://www.curseforge.com/minecraft/mc-mods/illage-and-spell-age,https://discord.gg/BKyvxfdykN
cosmeticarmorreworked,CosmeticArmorReworked,1.20.1-v1a,cosmeticarmorreworked-1.20.1-v1a.jar,,,
expandability,ExpandAbility,9.0.4,expandability-forge-9.0.4.jar,,,https://github.com/florensie/expandability/issues
createaddition,Create Crafts & Additions,1.20.1-1.3.3,createaddition-1.20.1-1.3.3.jar,,https://github.com/mrh0/createaddition,https://github.com/mrh0/createaddition/issues
jinxedlib,JinxedLib,1.0.3,JinxedLib-forge-1.20.1-1.0.3.jar,,https://kekecreations.boomla.net/mods/minecraft-java-edition/jinxedlib,https://github.com/KekeCreations/JinxedLib
cristellib,Cristel Lib,1.1.6,cristellib-1.1.6-forge.jar,,,
